	11961347	SS
	1212393	통
	533414	합
	2451452	보
	728063	건
	1009794	교
	368436	육
	5248830	은
	138744110	_
	14783900	이
	4658678	대
	974972	학
	2451739	만
	7433544	의
	490644	특
	1457676	화
	1072785	된
	578456	프
	6560180	로
	2375479	그
	88445	램
	14882952	다
	11961347	SE
	9412842	에
	513708	따
	1894086	라
	3303852	전
	706676	달
	993669	후
	2974130	원
	1091158	금
	515876	저
	1634604	소
	194248	득
	127036	층
	2706828	과
	4577018	사
	1904820	회
	386235	복
	7069223	지
	4081231	시
	681564	설
	2604547	2
	455814	억
	2610945	상
	1158913	당
	8908798	을
	1549367	중
	1916343	구
	45745	푸
	1012598	드
	19712	뱅
	461375	크
	213637	립
	835349	6
	3071742	0
	146748	긴
	475473	급
	1721339	등
	1140811	5
	3972228	해
	1529442	진
	1349513	오
	3305120	리
	21302	콤
	1269962	모
	250781	든
	1525860	조
	693452	직
	1191535	세
	2162431	스
	5102097	를
	715051	바
	89840	꾸
	5498848	기
	2531918	했
	1124760	방
	723075	청
	619639	번
	6524429	가
	1572184	관
	1333857	안
	1524191	내
	5118570	서
	177181	희
	302515	망
	6052861	하
	9485560	는
	1536294	업
	1269748	무
	402683	료
	509225	배
	615202	포
	1281938	할
	752791	예
	3329984	정
	1019271	러
	2682771	나
	804678	물
	6675	겉
	1869778	것
	2981429	어
	6606	꽤
	463851	래
	979674	되
	1158913	었
	520627	약
	1091747	간
	5114	낡
	576092	았
	208649	느
	23014	낌
	2417446	주
	361644	런
	812998	데
	299862	황
	117353	찬
	3299111	1
	3068911	부
	609109	올
	170867	갈
	3894371	수
	4370853	도
	3517023	있
	171323	응
	81837	답
	3566189	자
	2997317	장
	330329	많
	234259	견
	138437	P
	478272	씨
	1441854	3
	2922784	일
	756913	8
	1026717	분
	43796	쯤
	88936	벤
	109114	츠
	628890	승
	1201185	용
	1011797	차
	114736	몰
	6413492	고
	626871	울
	1307206	마
	1717955	동
	297533	순
	460138	환
	162528	커
	218300	브
	231814	길
	95306	좌
	1360337	우
	679955	호
	74485	벽
	188237	례
	2719217	들
	626852	받
	1704038	니
	1023958	트
	428044	초
	434296	능
	1044908	영
	1269982	년
	1081105	터
	978308	체
	1378461	계
	275676	획
	820769	9
	791770	까
	1098821	미
	69151	뤄
	951514	난
	317279	항
	41207	겪
	210832	왔
	200993	융
	199684	극
	674359	심
	6180908	한
	1853313	공
	107693	잠
	41149	벗
	154605	났
	816065	반
	1714648	면
	159783	글
	252452	벌
	1972984	위
	215678	범
	656577	던
	1790464	선
	2418386	국
	282696	살
	186343	림
	1978123	게
	197761	악
	546369	됐
	1968896	경
	820018	최
	281774	및
	417417	평
	405055	군
	435428	태
	566608	권
	361472	협
	1467002	개
	1115630	생
	483305	활
	3752281	인
	1585077	여
	1238625	명
	405948	참
	178251	겨
	365380	루
	493690	품
	478274	격
	502613	파
	576251	종
	419891	목
	866852	역
	51009	빛
	489276	판
	73514	펼
	1203682	치
	1161987	실
	485642	확
	1924559	성
	177782	좋
	242022	송
	52378	섭
	655890	작
	532074	말
	756725	7
	927617	요
	194794	존
	1215769	연
	11994	꿔
	722391	표
	823189	식
	3451126	으
	1941248	적
	135706	탈
	485547	피
	1477851	와
	888898	점
	224115	철
	526646	석
	13004	웹
	271245	접
	513612	근
	505286	증
	97044	흥
	216211	애
	352874	령
	417324	편
	516680	록
	2360650	제
	161895	홈
	193492	페
	580179	김
	871536	민
	295939	창
	864290	현
	866069	야
	111894	혁
	381045	총
	474650	형
	677898	각
	17122	붕
	42098	괴
	23258	걱
	725528	속
	39457	흡
	123719	끝
	564320	더
	705983	양
	133611	쪽
	363612	같
	183026	완
	49127	즉
	1158408	재
	209057	침
	1107555	거
	676144	매
	268594	량
	161323	놓
	556850	외
	698653	히
	369315	책
	669336	임
	1579308	문
	1147687	발
	1164348	산
	414288	레
	584869	음
	758539	감
	1527712	비
	841380	타
	276227	C
	271024	A
	182190	B
	751505	두
	138744	갖
	76876	왕
	585883	불
	440565	린
	93721	엄
	324014	새
	964603	운
	2683812	아
	579695	법
	168270	랑
	47512	궁
	191485	테
	565834	본
	868391	출
	120478	균
	118211	블
	155551	L
	44990	H
	262974	란
	38990	꼽
	250214	류
	175519	눈
	185592	볼
	108065	혜
	247001	택
	200919	줄
	440549	른
	295312	론
	894997	며
	408918	질
	443657	천
	174947	쳐
	637514	남
	334198	광
	383647	독
	16403	멸
	316804	별
	729631	없
	77021	쉽
	395440	찰
	131076	혐
	1419193	신
	780610	습
	208184	측
	1285274	유
	291226	키
	306733	병
	962989	입
	46176	켰
	416495	북
	776379	강
	617132	르
	15577	흉
	291444	채
	79895	붙
	198006	잡
	240795	혔
	540107	투
	13833	샌
	320367	코
	117398	럽
	110219	앙
	1227437	행
	441382	또
	11255	깃
	223090	메
	28087	쏟
	210715	져
	328788	온
	501198	노
	86863	낮
	117797	휴
	728195	않
	179126	즌
	228544	막
	161571	엔
	209643	름
	213165	렸
	887769	려
	520036	박
	16771	멤
	344212	버
	590742	추
	233748	패
	18474	슛
	3912	쐐
	217261	골
	56378	넣
	48658	킨
	62262	맹
	158411	홍
	50267	쇼
	60263	핑
	498254	함
	88600	써
	201482	움
	331848	험
	65633	촉
	65830	납
	95355	돈
	44085	빌
	273057	뒤
	7586	갚
	283842	밝
	100360	E
	181303	T
	104602	F
	294166	절
	215116	누
	86574	릴
	495297	열
	46444	짓
	146922	녀
	71138	뜻
	104383	밖
	32129	끄
	60028	웠
	231564	농
	105146	듯
	1014	뺐
	277126	팀
	117017	퍼
